id,date,project id,expense_item_id,expense_type_id,price,budget_type_id,currency_id,note
502,2015-01-01,2,21,1,11.5,1,1,dinner
503,2015-01-02,1,1,2,20,2,1,0
504,2015-01-02,2,13,1,2.5,1,1,football
505,2015-01-02,2,4,2,5.85,1,1,"pork, pasta"
506,2015-01-04,2,4,2,16.8,1,1,"pork, egg, milk, vegetables"
507,2015-01-05,1,19,1,931,2,1,salary
508,2015-01-05,2,4,2,1,1,1,lunch
509,2015-01-06,1,2,1,10,2,1,water server
510,2015-01-06,2,4,2,8.5,1,1,lunch
511,2015-01-06,1,8,2,6,2,1,helmet
512,2015-01-06,1,2,1,8.5,2,1,key for gate
513,2015-01-06,1,19,1,2500,2,1,Tsubasa salary
514,2015-01-07,2,4,2,1,1,1,lunch
515,2015-01-07,2,21,1,31.5,1,1,0
516,2015-01-07,2,21,1,65,1,1,0
517,2015-01-08,1,8,2,2.875,2,1,0
518,2015-01-08,2,3,2,8.2,1,1,cleaning goods
519,2015-01-08,1,8,2,2.75,2,1,0
520,2015-01-08,2,4,2,1,1,1,lunch
521,2015-01-09,2,4,2,1,1,1,lunch
522,2015-01-09,1,8,2,3,2,1,gas
523,2015-01-09,1,8,2,1.25,2,1,parking
524,2015-01-09,2,9,3,1.5,1,1,tip
525,2015-01-09,1,8,2,5,2,1,parking
526,2015-01-10,2,4,2,11.3,1,1,"meat, egg, milk"
527,2015-01-10,2,7,3,10,1,1,0
528,2015-01-10,1,8,2,1,2,1,parking
529,2015-01-11,2,3,2,6.5,1,1,Renu
530,2015-01-11,2,4,2,3,1,1,juice
531,2015-01-11,2,14,1,1.5,1,1,0
532,2015-01-11,2,4,2,1,1,1,water
533,2015-01-11,1,8,2,2,2,1,parking
534,2015-01-11,2,21,1,20,1,1,tip
535,2015-01-11,2,21,1,10,1,1,tip
536,2015-01-11,2,21,1,10,1,1,tip
537,2015-01-12,2,4,2,1,1,1,lunch
538,2015-01-12,1,11,2,15,2,1,top up
539,2015-01-13,2,4,2,1,1,1,lunch
540,2015-01-13,1,2,1,40,2,1,name card BH
541,2015-01-13,2,13,1,35,1,1,chinning machine
542,2015-01-13,2,21,1,20,1,1,dinner
543,2015-01-14,2,4,2,1,1,1,lunch
544,2015-01-15,1,8,2,7,2,1,0
545,2015-01-15,2,4,2,2,1,1,lunch
546,2015-01-15,1,15,2,249,2,1,Internet
547,2015-01-15,2,4,2,24.95,1,1,"cheese, milk, banana, vanilla"
548,2015-01-15,1,8,2,0.375,2,1,parking
549,2015-01-15,2,21,1,15,1,1,dinner
